(rturn,o0,o1,o2,o3,o4,o5,o6,o7,o8)
4798:(1,2,0,1,1,1,2,2,0,0)
4799:(1,2,0,1,1,1,2,2,1,2)
4800:(1,2,0,1,1,1,2,2,2,1)
4801:(1,2,0,1,1,2,0,0,0,0)
4802:(1,2,0,1,1,2,0,0,1,2)
4803:(1,2,0,1,1,2,0,0,2,1)
4804:(1,2,0,1,1,2,0,1,0,2)
4805:(1,2,0,1,1,2,0,1,2,0)
4806:(1,2,0,1,1,2,0,2,0,1)
4807:(1,2,0,1,1,2,0,2,1,0)
4808:(1,2,0,1,1,2,1,0,0,2)
4809:(1,2,0,1,1,2,1,0,2,0)
4810:(1,2,0,1,1,2,1,1,2,2)
4811:(1,2,0,1,1,2,1,2,0,0)
4812:(1,2,0,1,1,2,1,2,1,2)
4813:(1,2,0,1,1,2,2,0,0,1)
4814:(1,2,0,1,1,2,2,0,1,0)
4815:(1,2,0,1,1,2,2,1,0,0)
4816:(1,2,0,1,1,2,2,1,1,2)
4817:(1,2,0,1,1,2,2,1,2,1)
4818:(1,2,0,1,1,2,2,2,1,1)
4819:(1,2,0,1,2,0,0,0,0,1)
4820:(1,2,0,1,2,0,0,0,1,0)
4821:(1,2,0,1,2,0,0,1,0,0)
4822:(1,2,0,1,2,0,0,1,1,2)
4823:(1,2,0,1,2,0,0,1,2,1)
4824:(1,2,0,1,2,0,0,2,1,1)
4825:(1,2,0,1,2,0,1,0,0,0)
4826:(1,2,0,1,2,0,1,0,1,2)
4827:(1,2,0,1,2,0,1,1,0,2)
4828:(1,2,0,1,2,0,1,1,2,0)
4829:(1,2,0,1,2,0,1,2,1,0)
4830:(1,2,0,1,2,0,2,0,1,1)
4831:(1,2,0,1,2,0,2,1,0,1)
4832:(1,2,0,1,2,0,2,1,1,0)
4833:(1,2,0,1,2,1,0,0,0,0)
4834:(1,2,0,1,2,1,0,0,1,2)
4835:(1,2,0,1,2,1,0,0,2,1)
4836:(1,2,0,1,2,1,0,2,0,1)
4837:(1,2,0,1,2,1,0,2,1,0)
4838:(1,2,0,1,2,1,1,0,0,2)
4839:(1,2,0,1,2,1,1,0,2,0)
4840:(1,2,0,1,2,1,1,2,0,0)
4841:(1,2,0,1,2,1,1,2,1,2)
4842:(1,2,0,1,2,1,2,0,0,1)
4843:(1,2,0,1,2,1,2,0,1,0)
4844:(1,2,0,1,2,1,2,2,1,1)
4845:(1,2,0,1,2,2,0,0,1,1)
4846:(1,2,0,1,2,2,0,1,0,1)
4847:(1,2,0,1,2,2,0,1,1,0)
4848:(1,2,0,1,2,2,1,0,1,0)
4849:(1,2,0,1,2,2,1,1,0,0)
4850:(1,2,0,1,2,2,1,1,1,2)
4851:(1,2,0,2,0,0,0,0,1,1)
4852:(1,2,0,2,0,0,0,1,0,1)
4853:(1,2,0,2,0,0,0,1,1,0)
4854:(1,2,0,2,0,0,1,0,0,1)
4855:(1,2,0,2,0,0,1,0,1,0)
4856:(1,2,0,2,0,0,1,1,0,0)
4857:(1,2,0,2,0,0,1,1,1,2)
4858:(1,2,0,2,0,0,1,1,2,1)
4859:(1,2,0,2,0,0,1,2,1,1)
4860:(1,2,0,2,0,1,0,0,0,1)
4861:(1,2,0,2,0,1,0,0,1,0)
4862:(1,2,0,2,0,1,0,1,0,0)
4863:(1,2,0,2,0,1,0,1,1,2)
4864:(1,2,0,2,0,1,0,1,2,1)
4865:(1,2,0,2,0,1,0,2,1,1)
4866:(1,2,0,2,0,1,1,0,0,0)
4867:(1,2,0,2,0,1,1,0,1,2)
4868:(1,2,0,2,0,1,1,0,2,1)
4869:(1,2,0,2,0,1,1,1,0,2)
4870:(1,2,0,2,0,1,1,1,2,0)
4871:(1,2,0,2,0,1,1,2,0,1)
4872:(1,2,0,2,0,1,1,2,1,0)
4873:(1,2,0,2,0,1,2,0,1,1)
4874:(1,2,0,2,0,1,2,1,0,1)
4875:(1,2,0,2,0,1,2,1,1,0)
4876:(1,2,0,2,0,2,1,0,1,1)
4877:(1,2,0,2,0,2,1,1,0,1)
4878:(1,2,0,2,0,2,1,1,1,0)
4879:(1,2,0,2,1,0,0,0,0,1)
4880:(1,2,0,2,1,0,0,0,1,0)
4881:(1,2,0,2,1,0,0,1,0,0)
4882:(1,2,0,2,1,0,0,1,1,2)
4883:(1,2,0,2,1,0,0,1,2,1)
4884:(1,2,0,2,1,0,0,2,1,1)
4885:(1,2,0,2,1,0,1,0,0,0)
4886:(1,2,0,2,1,0,1,0,1,2)
4887:(1,2,0,2,1,0,1,0,2,1)
4888:(1,2,0,2,1,0,1,1,0,2)
4889:(1,2,0,2,1,0,1,1,2,0)
4890:(1,2,0,2,1,0,1,2,0,1)
4891:(1,2,0,2,1,0,1,2,1,0)
4892:(1,2,0,2,1,0,2,0,1,1)
4893:(1,2,0,2,1,0,2,1,0,1)
4894:(1,2,0,2,1,0,2,1,1,0)
4895:(1,2,0,2,1,1,0,0,0,0)
4896:(1,2,0,2,1,1,0,0,1,2)
4897:(1,2,0,2,1,1,0,0,2,1)
4898:(1,2,0,2,1,1,0,1,0,2)
4899:(1,2,0,2,1,1,0,1,2,0)
4900:(1,2,0,2,1,1,0,2,0,1)
4901:(1,2,0,2,1,1,0,2,1,0)
4902:(1,2,0,2,1,1,2,0,0,1)
4903:(1,2,0,2,1,1,2,0,1,0)
4904:(1,2,0,2,1,1,2,1,0,0)
4905:(1,2,0,2,1,1,2,1,1,2)
4906:(1,2,0,2,1,1,2,1,2,1)
4907:(1,2,0,2,1,1,2,2,1,1)
4908:(1,2,0,2,1,2,0,0,1,1)
4909:(1,2,0,2,1,2,0,1,0,1)
4910:(1,2,0,2,1,2,0,1,1,0)
4911:(1,2,0,2,1,2,1,0,0,1)
4912:(1,2,0,2,1,2,1,0,1,0)
4913:(1,2,0,2,1,2,1,1,0,0)
4914:(1,2,0,2,1,2,1,1,1,2)
4915:(1,2,0,2,1,2,1,1,2,1)
4916:(1,2,0,2,1,2,1,2,1,1)
4917:(1,2,0,2,2,0,1,0,1,1)
4918:(1,2,0,2,2,0,1,1,0,1)
4919:(1,2,0,2,2,0,1,1,1,0)
4920:(1,2,0,2,2,1,0,0,1,1)
4921:(1,2,0,2,2,1,0,1,0,1)
4922:(1,2,0,2,2,1,0,1,1,0)
4923:(1,2,0,2,2,1,1,0,0,1)
4924:(1,2,0,2,2,1,1,0,1,0)
4925:(1,2,0,2,2,1,1,1,0,0)
4926:(1,2,0,2,2,1,1,1,1,2)
4927:(1,2,0,2,2,1,1,1,2,1)
4928:(1,2,0,2,2,1,1,2,1,1)
4929:(1,2,1,0,0,0,0,0,0,0)
4930:(1,2,1,0,0,0,0,0,1,2)
4931:(1,2,1,0,0,0,0,0,2,1)
4932:(1,2,1,0,0,0,0,1,0,2)
4933:(1,2,1,0,0,0,0,1,2,0)
4934:(1,2,1,0,0,0,0,2,0,1)
4935:(1,2,1,0,0,0,0,2,1,0)
4936:(1,2,1,0,0,0,1,0,0,2)
4937:(1,2,1,0,0,0,1,0,2,0)
4938:(1,2,1,0,0,0,1,1,2,2)
4939:(1,2,1,0,0,0,1,2,0,0)
4940:(1,2,1,0,0,0,1,2,1,2)
4941:(1,2,1,0,0,0,1,2,2,1)
4942:(1,2,1,0,0,0,2,0,0,1)
4943:(1,2,1,0,0,0,2,0,1,0)
4944:(1,2,1,0,0,0,2,1,0,0)
4945:(1,2,1,0,0,0,2,1,1,2)
4946:(1,2,1,0,0,0,2,1,2,1)
4947:(1,2,1,0,0,0,2,2,1,1)
4948:(1,2,1,0,0,1,0,0,0,2)
4949:(1,2,1,0,0,1,0,0,2,0)
4950:(1,2,1,0,0,1,0,1,2,2)
4951:(1,2,1,0,0,1,0,2,0,0)
4952:(1,2,1,0,0,1,0,2,2,1)
4953:(1,2,1,0,0,1,1,0,2,2)
4954:(1,2,1,0,0,1,1,2,0,2)
4955:(1,2,1,0,0,1,1,2,2,0)
4956:(1,2,1,0,0,1,2,0,0,0)
4957:(1,2,1,0,0,1,2,0,2,1)
4958:(1,2,1,0,0,1,2,1,0,2)
4959:(1,2,1,0,0,1,2,1,2,0)
4960:(1,2,1,0,0,1,2,2,0,1)
4961:(1,2,1,0,0,2,0,0,0,1)
4962:(1,2,1,0,0,2,0,0,1,0)
4963:(1,2,1,0,0,2,0,1,0,0)
4964:(1,2,1,0,0,2,0,1,1,2)
4965:(1,2,1,0,0,2,0,1,2,1)
4966:(1,2,1,0,0,2,0,2,1,1)
4967:(1,2,1,0,0,2,1,0,0,0)
4968:(1,2,1,0,0,2,1,0,1,2)
4969:(1,2,1,0,0,2,1,0,2,1)
4970:(1,2,1,0,0,2,1,1,0,2)
4971:(1,2,1,0,0,2,1,1,2,0)
4972:(1,2,1,0,0,2,1,2,0,1)
4973:(1,2,1,0,0,2,1,2,1,0)
4974:(1,2,1,0,0,2,2,0,1,1)
4975:(1,2,1,0,0,2,2,1,0,1)
4976:(1,2,1,0,0,2,2,1,1,0)
4977:(1,2,1,0,1,0,0,0,0,2)
4978:(1,2,1,0,1,0,0,0,2,0)
4979:(1,2,1,0,1,0,0,1,2,2)
4980:(1,2,1,0,1,0,0,2,0,0)
4981:(1,2,1,0,1,0,0,2,1,2)
4982:(1,2,1,0,1,0,0,2,2,1)
4983:(1,2,1,0,1,0,1,0,2,2)
4984:(1,2,1,0,1,0,1,2,0,2)
4985:(1,2,1,0,1,0,1,2,2,0)
4986:(1,2,1,0,1,0,2,0,0,0)
4987:(1,2,1,0,1,0,2,0,1,2)
4988:(1,2,1,0,1,0,2,0,2,1)
4989:(1,2,1,0,1,0,2,1,0,2)
4990:(1,2,1,0,1,0,2,1,2,0)
4991:(1,2,1,0,1,0,2,2,0,1)
4992:(1,2,1,0,1,0,2,2,1,0)
4993:(1,2,1,0,1,1,0,0,2,2)
4994:(1,2,1,0,1,1,0,2,0,2)
4995:(1,2,1,0,1,1,0,2,2,0)
4996:(1,2,1,0,1,1,2,0,0,2)
4997:(1,2,1,0,1,1,2,0,2,0)
4998:(1,2,1,0,1,1,2,1,2,2)
4999:(1,2,1,0,1,1,2,2,0,0)
5000:(1,2,1,0,1,1,2,2,2,1)
5001:(1,2,1,0,1,2,0,0,0,0)
5002:(1,2,1,0,1,2,0,0,1,2)
5003:(1,2,1,0,1,2,0,0,2,1)
5004:(1,2,1,0,1,2,0,1,0,2)
5005:(1,2,1,0,1,2,0,1,2,0)
5006:(1,2,1,0,1,2,0,2,0,1)
5007:(1,2,1,0,1,2,0,2,1,0)
5008:(1,2,1,0,1,2,1,0,0,2)
5009:(1,2,1,0,1,2,1,0,2,0)
5010:(1,2,1,0,1,2,1,1,2,2)
5011:(1,2,1,0,1,2,1,2,0,0)
5012:(1,2,1,0,1,2,1,2,1,2)
5013:(1,2,1,0,1,2,1,2,2,1)
5014:(1,2,1,0,1,2,2,0,0,1)
5015:(1,2,1,0,1,2,2,0,1,0)
5016:(1,2,1,0,1,2,2,1,0,0)
5017:(1,2,1,0,1,2,2,1,1,2)
5018:(1,2,1,0,1,2,2,1,2,1)
5019:(1,2,1,0,1,2,2,2,1,1)
5020:(1,2,1,0,2,0,0,0,0,1)
5021:(1,2,1,0,2,0,0,0,1,0)
5022:(1,2,1,0,2,0,0,1,0,0)
5023:(1,2,1,0,2,0,0,1,1,2)
5024:(1,2,1,0,2,0,0,1,2,1)
5025:(1,2,1,0,2,0,0,2,1,1)
5026:(1,2,1,0,2,0,1,0,0,0)
5027:(1,2,1,0,2,0,1,0,1,2)
5028:(1,2,1,0,2,0,1,0,2,1)
5029:(1,2,1,0,2,0,1,1,0,2)
5030:(1,2,1,0,2,0,1,1,2,0)
5031:(1,2,1,0,2,0,1,2,0,1)
5032:(1,2,1,0,2,0,1,2,1,0)
5033:(1,2,1,0,2,0,2,0,1,1)
5034:(1,2,1,0,2,0,2,1,0,1)
5035:(1,2,1,0,2,0,2,1,1,0)
5036:(1,2,1,0,2,1,0,0,0,0)
5037:(1,2,1,0,2,1,0,0,2,1)
5038:(1,2,1,0,2,1,0,1,0,2)
5039:(1,2,1,0,2,1,0,1,2,0)
5040:(1,2,1,0,2,1,0,2,0,1)
5041:(1,2,1,0,2,1,1,0,0,2)
5042:(1,2,1,0,2,1,1,0,2,0)
5043:(1,2,1,0,2,1,1,1,2,2)
5044:(1,2,1,0,2,1,1,2,0,0)
5045:(1,2,1,0,2,1,1,2,2,1)
5046:(1,2,1,0,2,1,2,0,0,1)
5047:(1,2,1,0,2,1,2,1,0,0)
5048:(1,2,1,0,2,1,2,1,2,1)
5049:(1,2,1,0,2,2,0,0,1,1)
5050:(1,2,1,0,2,2,0,1,0,1)
5051:(1,2,1,0,2,2,0,1,1,0)
5052:(1,2,1,0,2,2,1,0,0,1)
5053:(1,2,1,0,2,2,1,0,1,0)
5054:(1,2,1,0,2,2,1,1,0,0)
5055:(1,2,1,0,2,2,1,1,1,2)
5056:(1,2,1,0,2,2,1,1,2,1)
5057:(1,2,1,0,2,2,1,2,1,1)
5058:(1,2,1,1,0,0,0,0,0,2)
5059:(1,2,1,1,0,0,0,0,2,0)
5060:(1,2,1,1,0,0,0,1,2,2)
5061:(1,2,1,1,0,0,0,2,0,0)
5062:(1,2,1,1,0,0,0,2,1,2)
5063:(1,2,1,1,0,0,0,2,2,1)
5064:(1,2,1,1,0,0,1,0,2,2)
5065:(1,2,1,1,0,0,1,2,0,2)
5066:(1,2,1,1,0,0,1,2,2,0)
5067:(1,2,1,1,0,0,2,0,0,0)
5068:(1,2,1,1,0,0,2,0,1,2)
5069:(1,2,1,1,0,0,2,0,2,1)
5070:(1,2,1,1,0,0,2,1,0,2)
5071:(1,2,1,1,0,0,2,1,2,0)
5072:(1,2,1,1,0,0,2,2,0,1)
5073:(1,2,1,1,0,0,2,2,1,0)
5074:(1,2,1,1,0,1,0,0,2,2)
5075:(1,2,1,1,0,1,0,2,0,2)
5076:(1,2,1,1,0,1,0,2,2,0)
5077:(1,2,1,1,0,1,1,2,2,2)
5078:(1,2,1,1,0,1,2,0,0,2)
5079:(1,2,1,1,0,1,2,0,2,0)
5080:(1,2,1,1,0,1,2,2,0,0)
5081:(1,2,1,1,0,1,2,2,2,1)
5082:(1,2,1,1,0,2,0,0,0,0)
5083:(1,2,1,1,0,2,0,0,1,2)
5084:(1,2,1,1,0,2,0,0,2,1)
5085:(1,2,1,1,0,2,0,1,0,2)
5086:(1,2,1,1,0,2,0,1,2,0)
5087:(1,2,1,1,0,2,0,2,0,1)
5088:(1,2,1,1,0,2,0,2,1,0)
5089:(1,2,1,1,0,2,1,0,0,2)
5090:(1,2,1,1,0,2,1,0,2,0)
5091:(1,2,1,1,0,2,1,1,2,2)
5092:(1,2,1,1,0,2,1,2,0,0)
5093:(1,2,1,1,0,2,1,2,1,2)
5094:(1,2,1,1,0,2,2,0,0,1)
5095:(1,2,1,1,0,2,2,0,1,0)
5096:(1,2,1,1,0,2,2,1,0,0)
5097:(1,2,1,1,0,2,2,1,1,2)
5098:(1,2,1,1,0,2,2,1,2,1)
5099:(1,2,1,1,0,2,2,2,1,1)
5100:(1,2,1,1,1,0,0,0,2,2)
5101:(1,2,1,1,1,0,0,2,0,2)
5102:(1,2,1,1,1,0,0,2,2,0)
5103:(1,2,1,1,1,0,1,2,2,2)
5104:(1,2,1,1,1,0,2,0,0,2)
5105:(1,2,1,1,1,0,2,0,2,0)
5106:(1,2,1,1,1,0,2,1,2,2)
5107:(1,2,1,1,1,0,2,2,0,0)
5108:(1,2,1,1,1,0,2,2,1,2)
5109:(1,2,1,1,1,0,2,2,2,1)
5110:(1,2,1,1,1,1,0,2,2,2)
5111:(1,2,1,1,1,1,2,0,2,2)
5112:(1,2,1,1,1,1,2,2,0,2)
5113:(1,2,1,1,1,1,2,2,2,0)
5114:(1,2,1,1,1,2,0,0,0,2)
5115:(1,2,1,1,1,2,0,0,2,0)
5116:(1,2,1,1,1,2,0,1,2,2)
5117:(1,2,1,1,1,2,0,2,0,0)
5118:(1,2,1,1,1,2,0,2,1,2)
5119:(1,2,1,1,1,2,0,2,2,1)
5120:(1,2,1,1,1,2,1,0,2,2)
5121:(1,2,1,1,1,2,1,2,0,2)
5122:(1,2,1,1,1,2,1,2,2,0)
5123:(1,2,1,1,1,2,2,0,0,0)
5124:(1,2,1,1,1,2,2,0,1,2)
5125:(1,2,1,1,1,2,2,0,2,1)
5126:(1,2,1,1,1,2,2,1,0,2)
5127:(1,2,1,1,1,2,2,1,2,0)
5128:(1,2,1,1,1,2,2,2,0,1)
5129:(1,2,1,1,1,2,2,2,1,0)
5130:(1,2,1,1,2,0,0,0,0,0)
5131:(1,2,1,1,2,0,0,0,1,2)
5132:(1,2,1,1,2,0,0,0,2,1)
5133:(1,2,1,1,2,0,0,1,0,2)
5134:(1,2,1,1,2,0,0,1,2,0)
5135:(1,2,1,1,2,0,0,2,0,1)
5136:(1,2,1,1,2,0,0,2,1,0)
5137:(1,2,1,1,2,0,1,0,0,2)
5138:(1,2,1,1,2,0,1,0,2,0)
5139:(1,2,1,1,2,0,1,1,2,2)
5140:(1,2,1,1,2,0,1,2,0,0)
5141:(1,2,1,1,2,0,1,2,1,2)
5142:(1,2,1,1,2,0,2,0,0,1)
5143:(1,2,1,1,2,0,2,0,1,0)
5144:(1,2,1,1,2,0,2,1,0,0)
5145:(1,2,1,1,2,0,2,1,1,2)
5146:(1,2,1,1,2,0,2,1,2,1)
5147:(1,2,1,1,2,0,2,2,1,1)
5148:(1,2,1,1,2,1,0,0,0,2)
5149:(1,2,1,1,2,1,0,0,2,0)
5150:(1,2,1,1,2,1,0,2,0,0)
5151:(1,2,1,1,2,1,0,2,2,1)
5152:(1,2,1,1,2,1,1,0,2,2)
5153:(1,2,1,1,2,1,1,2,0,2)
5154:(1,2,1,1,2,1,1,2,2,0)
5155:(1,2,1,1,2,1,2,0,0,0)
5156:(1,2,1,1,2,1,2,0,2,1)
5157:(1,2,1,1,2,1,2,2,0,1)
5158:(1,2,1,1,2,2,0,0,0,1)
5159:(1,2,1,1,2,2,0,0,1,0)
5160:(1,2,1,1,2,2,0,1,0,0)
5161:(1,2,1,1,2,2,0,1,1,2)
5162:(1,2,1,1,2,2,0,1,2,1)
5163:(1,2,1,1,2,2,0,2,1,1)
5164:(1,2,1,1,2,2,1,0,0,0)
5165:(1,2,1,1,2,2,1,0,1,2)
5166:(1,2,1,1,2,2,1,1,0,2)
5167:(1,2,1,1,2,2,1,1,2,0)
5168:(1,2,1,1,2,2,1,2,1,0)
5169:(1,2,1,1,2,2,2,0,1,1)
5170:(1,2,1,1,2,2,2,1,0,1)
5171:(1,2,1,1,2,2,2,1,1,0)
5172:(1,2,1,2,0,0,0,0,0,1)
5173:(1,2,1,2,0,0,0,0,1,0)
5174:(1,2,1,2,0,0,0,1,0,0)
5175:(1,2,1,2,0,0,0,1,1,2)
5176:(1,2,1,2,0,0,0,1,2,1)
5177:(1,2,1,2,0,0,0,2,1,1)
5178:(1,2,1,2,0,0,1,0,0,0)
5179:(1,2,1,2,0,0,1,0,1,2)
5180:(1,2,1,2,0,0,1,0,2,1)
5181:(1,2,1,2,0,0,1,1,0,2)
5182:(1,2,1,2,0,0,1,1,2,0)
5183:(1,2,1,2,0,0,1,2,0,1)
5184:(1,2,1,2,0,0,1,2,1,0)
5185:(1,2,1,2,0,0,2,0,1,1)
5186:(1,2,1,2,0,0,2,1,0,1)
5187:(1,2,1,2,0,0,2,1,1,0)
5188:(1,2,1,2,0,1,0,0,0,0)
5189:(1,2,1,2,0,1,0,0,2,1)
5190:(1,2,1,2,0,1,0,1,0,2)
5191:(1,2,1,2,0,1,0,1,2,0)
5192:(1,2,1,2,0,1,0,2,0,1)
5193:(1,2,1,2,0,1,1,0,0,2)
5194:(1,2,1,2,0,1,1,0,2,0)
5195:(1,2,1,2,0,1,1,1,2,2)
5196:(1,2,1,2,0,1,1,2,0,0)
5197:(1,2,1,2,0,1,1,2,2,1)
5198:(1,2,1,2,0,1,2,0,0,1)
5199:(1,2,1,2,0,1,2,1,0,0)
5200:(1,2,1,2,0,1,2,1,2,1)
5201:(1,2,1,2,0,2,0,0,1,1)
5202:(1,2,1,2,0,2,0,1,0,1)
5203:(1,2,1,2,0,2,0,1,1,0)
5204:(1,2,1,2,0,2,1,0,0,1)
5205:(1,2,1,2,0,2,1,0,1,0)
5206:(1,2,1,2,0,2,1,1,0,0)
5207:(1,2,1,2,0,2,1,1,1,2)
5208:(1,2,1,2,0,2,1,1,2,1)
5209:(1,2,1,2,0,2,1,2,1,1)
5210:(1,2,1,2,1,0,0,0,0,0)
5211:(1,2,1,2,1,0,0,0,1,2)
5212:(1,2,1,2,1,0,0,0,2,1)
5213:(1,2,1,2,1,0,0,1,0,2)
5214:(1,2,1,2,1,0,0,1,2,0)
5215:(1,2,1,2,1,0,0,2,0,1)
5216:(1,2,1,2,1,0,0,2,1,0)
5217:(1,2,1,2,1,0,1,0,0,2)
5218:(1,2,1,2,1,0,1,0,2,0)
5219:(1,2,1,2,1,0,1,1,2,2)
5220:(1,2,1,2,1,0,1,2,0,0)
5221:(1,2,1,2,1,0,1,2,1,2)
5222:(1,2,1,2,1,0,1,2,2,1)
5223:(1,2,1,2,1,0,2,0,0,1)
5224:(1,2,1,2,1,0,2,0,1,0)
5225:(1,2,1,2,1,0,2,1,0,0)
5226:(1,2,1,2,1,0,2,1,1,2)
5227:(1,2,1,2,1,0,2,1,2,1)
5228:(1,2,1,2,1,0,2,2,1,1)
5229:(1,2,1,2,1,1,0,0,0,2)
5230:(1,2,1,2,1,1,0,0,2,0)
5231:(1,2,1,2,1,1,0,1,2,2)
5232:(1,2,1,2,1,1,0,2,0,0)
5233:(1,2,1,2,1,1,0,2,2,1)
5234:(1,2,1,2,1,1,2,0,0,0)
5235:(1,2,1,2,1,1,2,0,2,1)
5236:(1,2,1,2,1,1,2,1,0,2)
5237:(1,2,1,2,1,1,2,1,2,0)
5238:(1,2,1,2,1,1,2,2,0,1)
5239:(1,2,1,2,1,2,0,0,0,1)
5240:(1,2,1,2,1,2,0,0,1,0)
5241:(1,2,1,2,1,2,0,1,0,0)
5242:(1,2,1,2,1,2,0,1,1,2)
5243:(1,2,1,2,1,2,0,1,2,1)
5244:(1,2,1,2,1,2,0,2,1,1)
5245:(1,2,1,2,1,2,1,0,0,0)
5246:(1,2,1,2,1,2,1,0,1,2)
5247:(1,2,1,2,1,2,1,0,2,1)
5248:(1,2,1,2,1,2,1,1,0,2)
5249:(1,2,1,2,1,2,1,1,2,0)
5250:(1,2,1,2,1,2,1,2,0,1)
5251:(1,2,1,2,1,2,1,2,1,0)
5252:(1,2,1,2,1,2,2,0,1,1)
5253:(1,2,1,2,1,2,2,1,0,1)
5254:(1,2,1,2,1,2,2,1,1,0)
5255:(1,2,1,2,2,0,0,0,1,1)
5256:(1,2,1,2,2,0,0,1,0,1)
5257:(1,2,1,2,2,0,0,1,1,0)
5258:(1,2,1,2,2,0,1,0,0,1)
5259:(1,2,1,2,2,0,1,0,1,0)
5260:(1,2,1,2,2,0,1,1,0,0)
5261:(1,2,1,2,2,0,1,1,1,2)
5262:(1,2,1,2,2,0,1,1,2,1)
5263:(1,2,1,2,2,0,1,2,1,1)
5264:(1,2,1,2,2,1,0,0,0,1)
5265:(1,2,1,2,2,1,0,1,0,0)
5266:(1,2,1,2,2,1,0,1,2,1)
5267:(1,2,1,2,2,1,1,0,0,0)
5268:(1,2,1,2,2,1,1,0,2,1)
5269:(1,2,1,2,2,1,1,1,0,2)
5270:(1,2,1,2,2,1,1,1,2,0)
5271:(1,2,1,2,2,1,1,2,0,1)
5272:(1,2,1,2,2,1,2,1,0,1)
5273:(1,2,1,2,2,2,1,0,1,1)
5274:(1,2,1,2,2,2,1,1,0,1)
5275:(1,2,1,2,2,2,1,1,1,0)
5276:(1,2,2,0,0,0,0,0,1,1)
5277:(1,2,2,0,0,0,0,1,0,1)
5278:(1,2,2,0,0,0,0,1,1,0)
5279:(1,2,2,0,0,0,1,0,0,1)
5280:(1,2,2,0,0,0,1,0,1,0)
5281:(1,2,2,0,0,0,1,1,0,0)
5282:(1,2,2,0,0,0,1,1,1,2)
5283:(1,2,2,0,0,0,1,1,2,1)
5284:(1,2,2,0,0,0,1,2,1,1)
5285:(1,2,2,0,0,1,0,0,0,1)
5286:(1,2,2,0,0,1,0,0,1,0)
5287:(1,2,2,0,0,1,0,1,0,0)
5288:(1,2,2,0,0,1,0,1,1,2)
5289:(1,2,2,0,0,1,0,1,2,1)
5290:(1,2,2,0,0,1,0,2,1,1)
5291:(1,2,2,0,0,1,1,0,0,0)
5292:(1,2,2,0,0,1,1,0,1,2)
5293:(1,2,2,0,0,1,1,0,2,1)
5294:(1,2,2,0,0,1,1,1,0,2)
5295:(1,2,2,0,0,1,1,1,2,0)
5296:(1,2,2,0,0,1,1,2,0,1)
5297:(1,2,2,0,0,1,1,2,1,0)
5298:(1,2,2,0,0,1,2,0,1,1)
5299:(1,2,2,0,0,1,2,1,0,1)
5300:(1,2,2,0,0,1,2,1,1,0)
5301:(1,2,2,0,0,2,1,0,1,1)
5302:(1,2,2,0,0,2,1,1,0,1)
5303:(1,2,2,0,0,2,1,1,1,0)
5304:(1,2,2,0,1,0,0,0,0,1)
5305:(1,2,2,0,1,0,0,0,1,0)
5306:(1,2,2,0,1,0,0,1,0,0)
5307:(1,2,2,0,1,0,0,1,1,2)
5308:(1,2,2,0,1,0,0,1,2,1)
5309:(1,2,2,0,1,0,0,2,1,1)
5310:(1,2,2,0,1,0,1,0,0,0)
5311:(1,2,2,0,1,0,1,0,1,2)
5312:(1,2,2,0,1,0,1,0,2,1)
5313:(1,2,2,0,1,0,1,1,0,2)
5314:(1,2,2,0,1,0,1,1,2,0)
5315:(1,2,2,0,1,0,1,2,0,1)
5316:(1,2,2,0,1,0,1,2,1,0)
5317:(1,2,2,0,1,0,2,0,1,1)
5318:(1,2,2,0,1,0,2,1,0,1)
5319:(1,2,2,0,1,0,2,1,1,0)
5320:(1,2,2,0,1,1,0,0,0,0)
5321:(1,2,2,0,1,1,0,0,1,2)
5322:(1,2,2,0,1,1,0,0,2,1)
5323:(1,2,2,0,1,1,0,1,0,2)
5324:(1,2,2,0,1,1,0,1,2,0)
5325:(1,2,2,0,1,1,0,2,0,1)
5326:(1,2,2,0,1,1,0,2,1,0)
5327:(1,2,2,0,1,1,2,0,0,1)
5328:(1,2,2,0,1,1,2,0,1,0)
5329:(1,2,2,0,1,1,2,1,0,0)
5330:(1,2,2,0,1,1,2,1,1,2)
5331:(1,2,2,0,1,1,2,1,2,1)
5332:(1,2,2,0,1,1,2,2,1,1)
5333:(1,2,2,0,1,2,0,0,1,1)
5334:(1,2,2,0,1,2,0,1,0,1)
5335:(1,2,2,0,1,2,0,1,1,0)
5336:(1,2,2,0,1,2,1,0,0,1)
5337:(1,2,2,0,1,2,1,0,1,0)
5338:(1,2,2,0,1,2,1,1,0,0)
5339:(1,2,2,0,1,2,1,1,1,2)
5340:(1,2,2,0,1,2,1,1,2,1)
5341:(1,2,2,0,1,2,1,2,1,1)
5342:(1,2,2,0,2,0,1,0,1,1)
5343:(1,2,2,0,2,0,1,1,0,1)
5344:(1,2,2,0,2,0,1,1,1,0)
5345:(1,2,2,0,2,1,0,0,1,1)
5346:(1,2,2,0,2,1,0,1,0,1)
5347:(1,2,2,0,2,1,0,1,1,0)
5348:(1,2,2,0,2,1,1,0,0,1)
5349:(1,2,2,0,2,1,1,0,1,0)
5350:(1,2,2,0,2,1,1,1,0,0)
5351:(1,2,2,0,2,1,1,1,1,2)
5352:(1,2,2,0,2,1,1,1,2,1)
5353:(1,2,2,0,2,1,1,2,1,1)
5354:(1,2,2,1,0,0,0,0,0,1)
5355:(1,2,2,1,0,0,0,0,1,0)
