(rloc,hloc,rturn,o0,o1)
227:(4,4,0,1,0)
228:(4,4,0,1,2)
229:(4,4,0,1,3)
230:(4,4,0,2,0)
231:(4,4,0,2,1)
232:(4,4,0,2,2)
233:(4,4,0,2,3)
234:(4,4,0,3,0)
235:(4,4,0,3,1)
236:(4,4,0,3,2)
237:(4,4,0,3,3)
238:(4,4,1,0,1)
239:(4,4,1,0,2)
240:(4,4,1,0,3)
241:(4,4,1,1,0)
242:(4,4,1,1,2)
243:(4,4,1,1,3)
244:(4,4,1,2,0)
245:(4,4,1,2,1)
246:(4,4,1,2,2)
247:(4,4,1,2,3)
248:(4,4,1,3,0)
249:(4,4,1,3,1)
250:(4,4,1,3,2)
251:(4,4,1,3,3)
